YEARNO,FireName,GISNO,NIFCNO,FireNumber,FORID,UniqueFireIdentifier,RelatedIrwinIDs,FireId,FireCode,FireType,Response,Landowner,Responder,FireUse,Cause,GeneralCause,SpecificCause,StartDate,IADate,ControlDate,OutDate,GIS_Acres,ControlAcr,UTME,UTMN,LongNAD83,LatNAD83,ContainDate,FireReport,Shape_Length,Shape_Area
2006.000000000000000,Castle,2006062.000000000000000,62.000000000000000,62.000000000000000,{9099A3B1-3594-49EE-8E5B-026500A6AD05},2006-CAKNP-000062,,527080.000000000000000,C02Q,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/24/2006 0:00:00,7/24/2006 0:00:00,7/26/2006 0:00:00,8/7/2006 0:00:00,0.222448150000000,0.100000000000000,349291.000000000000000,4039245.000000000000000,-118.682500000000005,36.486699999999999,,"On 7/24/06, H552 spotted the Castle fire while doing a standard park recon following a period of severe fire weather and lightning activity.  This .1 acre fire which was burning on a N aspect in a dense stand of red fir was determined to be a suppression fire by duty officer Allen.  Three fire monitors and one overhead were dispatched to the scene to suppress the fire.  By 7/26/06 the fire was placed in patrol status.  On 7/28, H552 who was out checking on all of our new lightning caused fires, noted that there was no smoke showing on the fire.  Monitoring of the site continued until the fire was declared out on 8/7/06 by Allen.  Though the general area of the fire was steep and on a north aspect the microsite of the fire was actually more on an easterly aspect w/ about 5% slope.  Since we were concerned about potential for spread, we wanted to include information on the general lay of the land as well as the fire site.",120.000000000000000,900.000000000000000
1979.000000000000000,Mosquito,1979013.000000000000000,9056.000000000000000,9056.000000000000000,,,,212136.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/22/1979 0:00:00,7/22/1979 0:00:00,7/22/1979 0:00:00,7/24/1979 0:00:00,0.222461220000000,0.100000000000000,355920.000000000000000,4034970.000000000000000,-118.607730000000004,36.449159999999999,,,120.000600046980907,900.008999944711491
1990.000000000000000,Windy,1990091.000000000000000,91.000000000000000,91.000000000000000,,,,213071.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/24/1990 0:00:00,,,8/28/1990 0:00:00,0.222463870000000,0.100000000000000,359865.000000000000000,4097243.000000000000000,-118.575140000000005,37.010919999999999,,,119.999700046411874,899.995499283674235
2024.000000000000000,Visitor,2024113.000000000000000,113.000000000000000,113.000000000000000,{23C9D2C2-4F2B-4EB7-864D-80080A2815A2},2024-CAKNP-000113,{FA048D25-EFF2-4317-8489-CB73BFB97AC3},1137400.000000000000000,R7LB,WF,Full Suppression,NPS,NPS,No,Human,Undetermined,Not investigated,9/1/2024 19:52:10,,9/1/2024 21:42:00,9/1/2024 21:42:00,0.222451120000000,0.100000000000000,350972.124646839976776,4072938.945456420071423,-118.670282999999998,36.790550000000003,9/1/2024 21:42:00,,120.000000000000000,900.000000000000000
1992.000000000000000,Kearsarge,1992085.000000000000000,85.000000000000000,85.000000000000000,{FAE98CD7-7133-48E3-B9F0-4754D396595D},1992-CAKNP-000085,,213302.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Human,Other causes,Unknown,9/6/1992 0:00:00,,,9/6/1992 0:00:00,0.222489830000000,0.100000000000000,375922.000000000000000,4070298.000000000000000,-118.390299999999996,36.770350000000001,,The following changes were made to this Fire Report as part of the conversion from SACS to WFMI on 05/14/2005. ACRES DISCOVERED: 0000000.0 - Changed to 0000000.1 End of SACS to WFMI conversion notes.,120.000400030791866,900.005999481868798
1978.000000000000000,Frypan,1978008.000000000000000,8070.000000000000000,8070.000000000000000,,,,212066.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,7/5/1978 0:00:00,7/5/1978 0:00:00,7/5/1978 0:00:00,7/9/1978 0:00:00,0.222447730000000,0.100000000000000,348670.000000000000000,4079896.000000000000000,-118.697460000000007,36.852870000000003,,,120.000100043732559,900.001499763481888
2003.000000000000000,Copper,2003042.000000000000000,42.000000000000000,42.000000000000000,{13EBE06A-820B-46C2-9F0D-04E291963751},2003-CAKNP-000042,,214350.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/29/2003 0:00:00,,,9/5/2003 0:00:00,0.222463310000000,0.100000000000000,357890.000000000000000,4079449.000000000000000,-118.593990000000005,36.850279999999998,,"The following changes were made to this Fire Report as part of the conversion from SACS to WFMI on 05/14/2005. TYPE INIT ATTACK 1: R - Mapped to T 2006 remarks:  Sacs did not require cost per acre information.  WFMI does. This is forcing us to estimate costs on fires far back in the past in order to have ""complete"" fire records as a result of the database conversion.  This is noted here because the costs we put onto this fire are an estimated guess.  This fire was approximately .1 acres, smolderin in heavy fuels and was being   managed as a wildland fire use fire.  This fire had a limited chance for       spread due to large amounts of rock in the area.  The fire was being patrolled regularly by air.  This fire was declared out on Sept. 5, 2003.",120.000400045516827,900.005999847746921
1932.000000000000000,Twin Lakes,1932014.000000000000000,2017.000000000000000,2017.000000000000000,,,,209972.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,10/16/1932 0:00:00,10/16/1932 0:00:00,10/16/1932 0:00:00,10/16/1932 0:00:00,0.222448500000000,0.100000000000000,347735.000000000000000,4056865.000000000000000,-118.703350000000000,36.645189999999999,,,120.000700051311469,900.010499662163284
1974.000000000000000,Big Stump,1974006.000000000000000,4092.000000000000000,4092.000000000000000,,,,211766.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Other causes,Unknown,6/30/1974 0:00:00,6/30/1974 0:00:00,7/1/1974 0:00:00,7/8/1974 0:00:00,0.222409620000000,0.100000000000000,324284.000000000000000,4065309.000000000000000,-118.967489999999998,36.717230000000001,,,120.001700024337254,900.025499962561867
1978.000000000000000,Twin,1978057.000000000000000,8059.000000000000000,8059.000000000000000,,,,212055.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/25/1978 0:00:00,7/25/1978 0:00:00,8/9/1978 0:00:00,8/9/1978 0:00:00,0.222448510000000,0.100000000000000,347865.000000000000000,4059292.000000000000000,-118.702380000000005,36.667090000000002,,,120.000700059036618,900.010499823042892
